decay,threshold,reset,lr_shift,w_init,t_pre,t_post,tau_e_shift,dw_pos,dw_neg,w_min,w_max,mode,n_hidden,dopamine_reward,dopamine_punish,mean_train_acc,std_train_acc,mean_test_acc,std_test_acc
64,512,0,3,,3,2,3,32,32,32,127,rstdp,0,1,-1,0.2665799739921977,0.0,0.2702702702702703,0.0
64,512,0,3,,3,2,3,32,32,32,127,rstdp,8,1,-1,0.34083224967490244,0.020933453758348104,0.36324324324324325,0.0956863637334435
64,512,0,3,,3,2,3,32,32,32,127,rstdp,16,1,-1,0.2644993498049415,0.001326142916409045,0.2594594594594595,0.007644397634449163
64,512,0,3,,3,2,3,32,32,32,127,stdp,0,1,-1,0.2931079323797139,0.035897362805894124,0.28540540540540543,0.0282739390932368
64,512,0,3,,3,2,3,32,32,32,127,stdp,8,1,-1,0.30702210663198964,0.055391734676035094,0.31891891891891894,0.09198723194024927
64,512,0,3,,3,2,3,32,32,32,127,stdp,16,1,-1,0.38361508452535764,0.09372466482783548,0.3275675675675676,0.13664454321578345
64,512,0,3,,3,2,3,32,32,32,255,rstdp,0,1,-1,0.22262678803641092,0.003010620780959743,0.2724324324324324,0.017297297297297298
64,512,0,3,,3,2,3,32,32,32,255,rstdp,8,1,-1,0.334850455136541,0.09487056679828881,0.2497297297297297,0.022521801790269903
64,512,0,3,,3,2,3,32,32,32,255,rstdp,16,1,-1,0.28712613784135244,0.0311323279867979,0.27135135135135136,0.007944291057675173
64,512,0,3,,3,2,3,32,32,32,255,stdp,0,1,-1,0.3505851755526658,0.044708463719307985,0.372972972972973,0.07944291057675172
64,512,0,3,,3,2,3,32,32,32,255,stdp,8,1,-1,0.33420026007802345,0.05556638638683963,0.33945945945945943,0.08042255097685315
64,512,0,3,,3,2,3,32,32,32,255,stdp,16,1,-1,0.3049414824447334,0.04813727360079808,0.3027027027027027,0.06540317172866669
64,1024,0,3,,3,2,3,32,32,32,127,rstdp,0,1,-1,0.2819245773732119,0.0007802340702210754,0.2756756756756757,0.010810810810810811
64,1024,0,3,,3,2,3,32,32,32,127,rstdp,8,1,-1,0.32756827048114434,0.016275149906020307,0.3318918918918919,0.025945945945945945
64,1024,0,3,,3,2,3,32,32,32,127,rstdp,16,1,-1,0.3027308192457737,0.01657984650248034,0.3124324324324324,0.028479869994204304
64,1024,0,3,,3,2,3,32,32,32,127,stdp,0,1,-1,0.33849154746423926,0.06366415718569482,0.20324324324324325,0.11017483946894938
64,1024,0,3,,3,2,3,32,32,32,127,stdp,8,1,-1,0.2717815344603381,0.0,0.2756756756756757,0.0
64,1024,0,3,,3,2,3,32,32,32,127,stdp,16,1,-1,0.2884265279583875,0.07502766412201989,0.45621621621621616,0.05571502152097351
64,1024,0,3,,3,2,3,32,32,32,255,rstdp,0,1,-1,0.3,0.001911175351976494,0.2810810810810811,0.0
64,1024,0,3,,3,2,3,32,32,32,255,rstdp,8,1,-1,0.41014304291287385,0.029725791731935607,0.3383783783783784,0.027263827487391337
64,1024,0,3,,3,2,3,32,32,32,255,rstdp,16,1,-1,0.30299089726918077,0.029274666975823583,0.26810810810810815,0.0266130456758728
64,1024,0,3,,3,2,3,32,32,32,255,stdp,0,1,-1,0.37230169050715217,0.02230690283218553,0.5286486486486487,0.06702702702702702
64,1024,0,3,,3,2,3,32,32,32,255,stdp,8,1,-1,0.2856957087126138,0.1514837837419628,0.3556756756756757,0.10252616406078852
64,1024,0,3,,3,2,3,32,32,32,255,stdp,16,1,-1,0.3616384915474643,0.06371035740343492,0.42162162162162165,0.11415520044293447
128,512,0,3,,3,2,3,32,32,32,127,rstdp,0,1,-1,0.252925877763329,0.0,0.2972972972972973,0.0
128,512,0,3,,3,2,3,32,32,32,127,rstdp,8,1,-1,0.3741222366710013,0.10171228884818474,0.30918918918918925,0.08446281074432264
128,512,0,3,,3,2,3,32,32,32,127,rstdp,16,1,-1,0.27828348504551365,0.004865614287092241,0.2691891891891892,0.0021621621621621626
128,512,0,3,,3,2,3,32,32,32,127,stdp,0,1,-1,0.3729518855656697,0.10029254035528827,0.3556756756756757,0.06399415605167023
128,512,0,3,,3,2,3,32,32,32,127,stdp,8,1,-1,0.36345903771131344,0.07432727782805326,0.4205405405405406,0.11834752158619681
128,512,0,3,,3,2,3,32,32,32,127,stdp,16,1,-1,0.36449934980494153,0.07336620799694822,0.4172972972972973,0.11595319072684905
128,512,0,3,,3,2,3,32,32,32,255,rstdp,0,1,-1,0.22028608582574774,0.004079164406074931,0.24108108108108112,0.017297297297297298
128,512,0,3,,3,2,3,32,32,32,255,rstdp,8,1,-1,0.26150845253576077,0.034010609062649105,0.3502702702702703,0.07263384662590627
128,512,0,3,,3,2,3,32,32,32,255,rstdp,16,1,-1,0.2794538361508453,0.03514759879477956,0.265945945945946,0.0259008617312669
128,512,0,3,,3,2,3,32,32,32,255,stdp,0,1,-1,0.3487646293888166,0.07139793092194026,0.36972972972972973,0.0770227594834892
128,512,0,3,,3,2,3,32,32,32,255,stdp,8,1,-1,0.34629388816644996,0.043427189440911,0.37729729729729733,0.08535749597038653
128,512,0,3,,3,2,3,32,32,32,255,stdp,16,1,-1,0.35240572171651496,0.03534095750765731,0.37081081081081085,0.07770258519380069
128,1024,0,3,,3,2,3,32,32,32,127,rstdp,0,1,-1,0.3039011703511053,0.03949762394084709,0.31891891891891894,0.013240485096125286
128,1024,0,3,,3,2,3,32,32,32,127,rstdp,8,1,-1,0.33355006501950585,0.005930691417940906,0.2843243243243243,0.004324324324324324
128,1024,0,3,,3,2,3,32,32,32,127,rstdp,16,1,-1,0.3126137841352406,0.012277500912272732,0.30486486486486486,0.048419882543910685
128,1024,0,3,,3,2,3,32,32,32,127,stdp,0,1,-1,0.2673602080624187,0.10360886309469561,0.387027027027027,0.045559583796119955
128,1024,0,3,,3,2,3,32,32,32,127,stdp,8,1,-1,0.2717815344603381,0.0,0.2756756756756757,0.0
128,1024,0,3,,3,2,3,32,32,32,127,stdp,16,1,-1,0.30403120936280886,0.0780197224964439,0.29081081081081084,0.08299717931965075
128,1024,0,3,,3,2,3,32,32,32,255,rstdp,0,1,-1,0.3044213263979194,0.00999187137180678,0.2918918918918919,0.009044973259827845
128,1024,0,3,,3,2,3,32,32,32,255,rstdp,8,1,-1,0.3520156046814044,0.07830098003403702,0.3783783783783784,0.05851835071448372
128,1024,0,3,,3,2,3,32,32,32,255,rstdp,16,1,-1,0.2810143042912874,0.00993246109437104,0.29945945945945945,0.025261235557941457
128,1024,0,3,,3,2,3,32,32,32,255,stdp,0,1,-1,0.3586475942782835,0.018105801902531547,0.3091891891891892,0.1208395273930255
128,1024,0,3,,3,2,3,32,32,32,255,stdp,8,1,-1,0.31261378413524055,0.05470517273727866,0.3308108108108109,0.09420925374717555
128,1024,0,3,,3,2,3,32,32,32,255,stdp,16,1,-1,0.3165149544863459,0.05987925845113893,0.32972972972972975,0.08443513163142329
